date,algorand,avalanche_2,axie_infinity,binancecoin,bitcoin,bitcoin_cash,bittorrent_2,cardano,chainlink,cosmos,crypto_com_chain,decentraland,dogecoin,elrond_erd_2,eos,ethereum,ethereum_classic,fantom,filecoin,flow,ftx_token,gala,hedera_hashgraph,helium,internet_computer,iota,klay_token,kusama,leo_token,litecoin,loopring,matic_network,monero,near,okb,pancakeswap_token,polkadot,radix,ripple,shiba_inu,solana,stellar,terra_luna,tezos,the_graph,the_sandbox,theta_token,tron,uniswap,vechain,000001_ss,399001_sz,imoex_me,aord,axjo,bfx,bsesn,buk100p,bvsp,dji,fchi,ftse,gdaxi,gspc,gsptse,hsi,ipsa,ixic,jkse,jn0u_jo,klse,ks11,merv,mxx,n100,n225,nya,nz50,rut,sti,stoxx50e,ta125_ta,twii,vix,xax,oil,gold,silver,f&g_value
2017-01-01,,,,,948.7433000000003,,,,,,,,0.00020979756657005062,,,7.666364877927506,1.3308357497119383,,,,,,,,,,,,,4.28066994855876,,,12.945102455539397,,,,,,0.006061006242973798,,,0.0023593816648464503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,,,,,973.7802,,,,,,,,0.00021158743802549132,,,7.988683735892442,1.3758292180092828,,,,,,,,,,,,,4.375974772856971,,,15.288524861484703,,,,,,0.0060278517614031765,,,0.0023905032662911298,,,,,,,,,,,,5784.60009765625,5733.2001953125,,26595.44921875,709.1699829101562,59589.0,,4882.3798828125,,11598.330078125,,,,,,,,,2026.1600341796875,17504.8203125,45695.1015625,938.969970703125,,,,,,,1280.4200439453125,,,,,,,
2017-01-03,,,,,994.3156,,,,,,,,0.00021391801660946083,,,9.243631598924008,1.4402977486049915,,,,,,,,,,,,,4.407587946919082,,,15.111977002358286,,,,,,0.006130867416561913,,,0.002444665378632206,,,,,,,,,3135.9208984375,10262.849609375,2285.429931640625,5788.2001953125,5736.39990234375,3657.050048828125,26643.240234375,715.3900146484375,61814.0,19881.759765625,4899.330078125,7177.89990234375,11584.240234375,2257.830078125,15403.0,22150.400390625,4148.85986328125,5429.080078125,5275.97119140625,,1635.530029296875,2043.969970703125,17911.220703125,46123.359375,941.3499755859376,,11154.349609375,6974.31005859375,1365.489990234375,2898.969970703125,3315.02001953125,1285.43994140625,9272.8798828125,12.850000381469728,2325.1298828125,52.33000183105469,1160.4000244140625,16.356000900268555,
2017-01-04,,,,,1078.3396387831203,,,,,,,,0.0002127863382252992,,,10.46276715658416,1.6878118026263431,,,,,,,,,,,,,4.30765224206912,,,17.342320828458075,,,,,,0.006261114291550603,,,0.0026051422851837112,,,,,,,,,3158.7939453125,10384.8701171875,2263.89990234375,5805.10009765625,5753.2998046875,3665.68994140625,26633.130859375,715.9099731445312,61589.0,19942.16015625,4899.39990234375,7189.7001953125,11584.3095703125,2270.75,15516.7998046875,22134.470703125,4168.33984375,5477.0,5301.18310546875,,1647.469970703125,2045.6400146484373,18143.099609375,46587.73828125,941.27001953125,19594.16015625,11246.5400390625,6975.60009765625,1387.949951171875,2921.31005859375,3317.52001953125,1287.77001953125,9286.9599609375,11.850000381469728,2334.260009765625,53.2599983215332,1163.800048828125,16.499000549316406,
2017-01-05,,,,,934.2619,,,,,,,,0.000212669303611036,,,9.539322370558052,1.5466233786815455,,,,,,,,,,,,,3.977069743095557,,,14.96634250631353,,,,,,0.005841332443630177,,,0.0024378179474949966,,,,,,,,,3165.410888671875,10371.4697265625,2220.35009765625,5809.0,5755.60009765625,3658.68994140625,26878.240234375,716.3099975585938,62071.0,19899.2890625,4900.64013671875,7195.2998046875,11584.9404296875,2269.0,15586.599609375,22456.689453125,4163.64990234375,5487.93994140625,5325.50390625,,1659.8199462890625,2041.949951171875,18222.69921875,46719.98828125,941.1699829101562,19520.689453125,11247.6904296875,6970.66015625,1371.93994140625,2954.139892578125,3316.469970703125,1290.6600341796875,9358.1396484375,11.670000076293944,2339.1201171875,53.7599983215332,1179.699951171875,16.583999633789062,
2017-01-06,,,,,848.6307999999993,,,,,,,,0.0002090276203245063,,,9.638973752005528,1.4238254202168266,,,,,,,,,,,,,3.663355890401685,,,13.31049888362311,,,,,,0.006008543273315009,,,0.0023122924824321264,,,,,,,,,3154.321044921875,10289.3603515625,2213.929931640625,,,3665.5,26759.23046875,717.8099975585938,61665.0,19963.80078125,4909.83984375,7210.10009765625,11599.009765625,2276.97998046875,15496.099609375,22503.009765625,4171.14013671875,5521.06005859375,5347.02197265625,,1675.489990234375,2049.1201171875,18284.279296875,46071.5703125,941.7100219726562,19454.330078125,11237.6201171875,,1367.280029296875,2962.6298828125,3321.169921875,,9372.2197265625,11.31999969482422,2333.550048828125,53.9900016784668,1171.9000244140625,16.465999603271484,
2017-01-07,,,,,854.5528000000002,,,,,,,,0.00021136998173791835,,,9.327366688297072,1.3576705772872326,,,,,,,,,,,,,3.7496617179623857,,,12.251155781815608,,,,,,0.006039260518967894,,,0.0022634172421348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,,,,,862.1536999999997,,,,,,,,0.0002122126754433049,,,9.748485442498861,1.3671642280183025,,,,,,,,,,,,,3.7915533545786015,,,12.752845593182498,,,,,,0.005926277160618225,,,0.0022377820037771793,,,,,,,,,,,,5857.7001953125,5807.39990234375,,,,,,,,,,,,,,,,,,,,,,,7012.740234375,,,,,,,,,,,
2017-01-09,,,,,852.6842589327473,,,,,,,,0.00021670162605650357,,,9.72488837864401,1.3236376901583362,,,,,,,,,,,,,4.073041696798945,,,12.807109836291499,,,,,,0.005828733114161529,,,0.0022274931414378854,,,,,,,,,3171.236083984375,10331.7900390625,2211.25,5813.0,5760.7001953125,3638.860107421875,26726.55078125,721.7899780273438,61700.0,19887.380859375,4887.56982421875,7237.7998046875,11563.990234375,2268.89990234375,15389.0,22558.689453125,4161.509765625,5531.81982421875,5316.36376953125,,1667.9000244140625,2048.780029296875,18509.9296875,45553.51171875,938.22998046875,,11169.7900390625,7037.580078125,1357.489990234375,2981.5400390625,3308.969970703125,1284.239990234375,9342.419921875,11.5600004196167,2335.080078125,51.959999084472656,1183.5,16.6299991607666,
2017-01-10,,,,,858.3340890716511,,,,,,,,0.00021183813681987197,,,9.972716772822558,1.3646151903138939,,,,,,,,,,,,,4.33651825941476,,,12.605138997851297,,,,,,0.006361570675400812,,,0.0022298191269504116,,,,,,,,,3161.6708984375,10306.33984375,2237.489990234375,5823.7001953125,5771.5,3632.02001953125,26899.560546875,725.8699951171875,62132.0,19855.529296875,4888.22998046875,7275.5,11583.2998046875,2268.89990234375,15426.2998046875,22744.849609375,4174.580078125,5551.81982421875,5309.923828125,,1672.050048828125,2045.1199951171875,18783.3203125,45886.26953125,937.6199951171876,19301.439453125,11183.330078125,7069.58984375,1370.9000244140625,3006.02001953125,3306.2099609375,1280.510009765625,9349.6396484375,11.489999771118164,2333.830078125,50.81999969482422,1184.199951171875,16.80299949645996,
