id,prices,date,market_caps
bitcoin,23758.680415784707,2021-01-01,441601238643.4067
bitcoin,24106.90173422772,2021-01-02,448095762683.38556
bitcoin,26505.018067687164,2021-01-03,492697142482.07477
bitcoin,26944.846107491692,2021-01-04,500899785176.27893
bitcoin,25728.49681420476,2021-01-05,478171698148.08514
bitcoin,27711.014779060108,2021-01-06,515199362652.24603
bitcoin,29930.887785755196,2021-01-07,553364438271.5564
bitcoin,32228.81707793265,2021-01-08,599263623840.409
bitcoin,33401.61993597576,2021-01-09,621101653038.192
bitcoin,32962.399539016464,2021-01-10,612963013407.6307
bitcoin,31506.011226579463,2021-01-11,585911777228.7335
bitcoin,29336.072696101375,2021-01-12,545585679385.7368
bitcoin,27802.759888042554,2021-01-13,515872383578.39825
bitcoin,30797.07867204945,2021-01-14,572814884322.5846
bitcoin,32288.59245921505,2021-01-15,600586159661.9167
bitcoin,30465.107457821814,2021-01-16,566698219632.0453
bitcoin,30013.42796807724,2021-01-17,558517334736.2053
bitcoin,29660.28800715679,2021-01-18,556841929750.6201
bitcoin,30302.801411274904,2021-01-19,565268783633.029
bitcoin,29740.11793259074,2021-01-20,553318046588.3516
bitcoin,29377.25881192296,2021-01-21,546758170957.1378
bitcoin,25410.62510329595,2021-01-22,472810876563.259
bitcoin,27071.26373707696,2021-01-23,503734116667.9894
bitcoin,26340.3742203778,2021-01-24,490159278862.7693
bitcoin,26523.183396434368,2021-01-25,493584321912.8315
bitcoin,26664.313603871564,2021-01-26,496233701879.3729
bitcoin,26786.79480225416,2021-01-27,498719920065.24084
bitcoin,25154.306588437914,2021-01-28,468179651441.82245
bitcoin,27330.224144153923,2021-01-29,508703611295.56934
bitcoin,28136.142415243863,2021-01-30,523730544155.566
bitcoin,28176.744975119404,2021-01-31,524510614893.2572
bitcoin,27271.207894485506,2021-02-01,507273262734.37854
bitcoin,27681.60666152396,2021-02-02,515339280924.17993
bitcoin,29475.86644015628,2021-02-03,548770067891.4522
bitcoin,31144.38727939557,2021-02-04,577964792539.3333
bitcoin,30766.304042881016,2021-02-05,573659832123.0673
bitcoin,31544.980436850477,2021-02-06,586217482424.2716
bitcoin,32599.595195893216,2021-02-07,607892935150.1154
bitcoin,32235.555753607303,2021-02-08,600523224688.9901
bitcoin,38421.996247150084,2021-02-09,715555889308.4242
bitcoin,38434.83981506046,2021-02-10,715584212243.9695
bitcoin,37009.052137144594,2021-02-11,692832975712.112
bitcoin,39412.402108929986,2021-02-12,734102771800.1244
bitcoin,39120.11748179182,2021-02-13,726575664940.612
