date,000001_ss,399001_sz,imoex_me,aord,axjo,bfx,bsesn,buk100p,bvsp,dji,fchi,ftse,gdaxi,gspc,gsptse,hsi,ipsa,ixic,jkse,jn0u_jo,klse,ks11,merv,mxx,n100,n225,nya,nz50,rut,sti,stoxx50e,ta125_ta,twii,vix,xax
2017-01-02,,,,5784.60009765625,5733.2001953125,,26595.44921875,709.1699829101562,59589.0,,4882.3798828125,,11598.330078125,,,,,,,,,2026.1600341796875,17504.8203125,45695.1015625,938.969970703125,,,,,,,1280.4200439453125,,,
2017-01-03,3135.9208984375,10262.849609375,2285.429931640625,5788.2001953125,5736.39990234375,3657.050048828125,26643.240234375,715.3900146484375,61814.0,19881.759765625,4899.330078125,7177.89990234375,11584.240234375,2257.830078125,15403.0,22150.400390625,4148.85986328125,5429.080078125,5275.97119140625,,1635.530029296875,2043.969970703125,17911.220703125,46123.359375,941.3499755859376,,11154.349609375,6974.31005859375,1365.489990234375,2898.969970703125,3315.02001953125,1285.43994140625,9272.8798828125,12.850000381469728,2325.1298828125
2017-01-04,3158.7939453125,10384.8701171875,2263.89990234375,5805.10009765625,5753.2998046875,3665.68994140625,26633.130859375,715.9099731445312,61589.0,19942.16015625,4899.39990234375,7189.7001953125,11584.3095703125,2270.75,15516.7998046875,22134.470703125,4168.33984375,5477.0,5301.18310546875,,1647.469970703125,2045.6400146484373,18143.099609375,46587.73828125,941.27001953125,19594.16015625,11246.5400390625,6975.60009765625,1387.949951171875,2921.31005859375,3317.52001953125,1287.77001953125,9286.9599609375,11.850000381469728,2334.260009765625
2017-01-05,3165.410888671875,10371.4697265625,2220.35009765625,5809.0,5755.60009765625,3658.68994140625,26878.240234375,716.3099975585938,62071.0,19899.2890625,4900.64013671875,7195.2998046875,11584.9404296875,2269.0,15586.599609375,22456.689453125,4163.64990234375,5487.93994140625,5325.50390625,,1659.8199462890625,2041.949951171875,18222.69921875,46719.98828125,941.1699829101562,19520.689453125,11247.6904296875,6970.66015625,1371.93994140625,2954.139892578125,3316.469970703125,1290.6600341796875,9358.1396484375,11.670000076293944,2339.1201171875
2017-01-06,3154.321044921875,10289.3603515625,2213.929931640625,,,3665.5,26759.23046875,717.8099975585938,61665.0,19963.80078125,4909.83984375,7210.10009765625,11599.009765625,2276.97998046875,15496.099609375,22503.009765625,4171.14013671875,5521.06005859375,5347.02197265625,,1675.489990234375,2049.1201171875,18284.279296875,46071.5703125,941.7100219726562,19454.330078125,11237.6201171875,,1367.280029296875,2962.6298828125,3321.169921875,,9372.2197265625,11.31999969482422,2333.550048828125
2017-01-08,,,,5857.7001953125,5807.39990234375,,,,,,,,,,,,,,,,,,,,,,,7012.740234375,,,,,,,
2017-01-09,3171.236083984375,10331.7900390625,2211.25,5813.0,5760.7001953125,3638.860107421875,26726.55078125,721.7899780273438,61700.0,19887.380859375,4887.56982421875,7237.7998046875,11563.990234375,2268.89990234375,15389.0,22558.689453125,4161.509765625,5531.81982421875,5316.36376953125,,1667.9000244140625,2048.780029296875,18509.9296875,45553.51171875,938.22998046875,,11169.7900390625,7037.580078125,1357.489990234375,2981.5400390625,3308.969970703125,1284.239990234375,9342.419921875,11.5600004196167,2335.080078125
2017-01-10,3161.6708984375,10306.33984375,2237.489990234375,5823.7001953125,5771.5,3632.02001953125,26899.560546875,725.8699951171875,62132.0,19855.529296875,4888.22998046875,7275.5,11583.2998046875,2268.89990234375,15426.2998046875,22744.849609375,4174.580078125,5551.81982421875,5309.923828125,,1672.050048828125,2045.1199951171875,18783.3203125,45886.26953125,937.6199951171876,19301.439453125,11183.330078125,7069.58984375,1370.9000244140625,3006.02001953125,3306.2099609375,1280.510009765625,9349.6396484375,11.489999771118164,2333.830078125
2017-01-11,3136.75390625,10215.48046875,2218.610107421875,5821.60009765625,5766.89990234375,3619.489990234375,27140.41015625,726.4400024414062,62446.0,19954.279296875,4888.7099609375,7290.5,11646.169921875,2275.320068359375,15491.5,22935.349609375,4210.1298828125,5563.64990234375,5301.23681640625,,1675.2099609375,2075.169921875,18467.759765625,45933.6484375,938.1799926757812,19364.669921875,11226.7802734375,7063.58984375,1373.300048828125,3000.93994140625,3307.93994140625,1276.43994140625,9345.740234375,11.260000228881836,2347.10009765625
2017-01-12,3119.2890625,10131.23046875,2212.0,5776.7998046875,5721.10009765625,3588.85009765625,27247.16015625,727.2999877929688,63954.0,19891.0,4863.97021484375,7292.39990234375,11521.0400390625,2270.43994140625,15418.2001953125,22829.01953125,4234.9501953125,5547.490234375,5292.75,,1677.760009765625,2087.139892578125,18591.279296875,46060.98046875,933.3400268554688,19134.69921875,11204.150390625,7046.97021484375,1361.0699462890625,2993.0,3286.699951171875,1269.0799560546875,9410.1796875,11.539999961853027,2344.389892578125
