date,oil,gold,silver
2017-01-03,52.33000183105469,1160.4000244140625,16.356000900268555
2017-01-04,53.2599983215332,1163.800048828125,16.499000549316406
2017-01-05,53.7599983215332,1179.699951171875,16.583999633789062
2017-01-06,53.9900016784668,1171.9000244140625,16.465999603271484
2017-01-09,51.959999084472656,1183.5,16.6299991607666
2017-01-10,50.81999969482422,1184.199951171875,16.80299949645996
2017-01-11,52.25,1195.5999755859375,16.783000946044922
2017-01-12,53.0099983215332,1198.9000244140625,16.780000686645508
2017-01-13,52.369998931884766,1195.300048828125,16.719999313354492
2017-01-17,52.47999954223633,1212.0,17.101999282836914
2017-01-18,51.08000183105469,1211.300048828125,17.235000610351562
2017-01-19,51.369998931884766,1200.9000244140625,16.966999053955078
2017-01-20,52.41999816894531,1204.300048828125,16.996999740600586
2017-01-23,52.75,1215.0,17.149999618530273
2017-01-24,53.18000030517578,1210.300048828125,17.14900016784668
2017-01-25,52.75,1197.300048828125,16.944000244140625
2017-01-26,53.779998779296875,1189.5,16.81399917602539
2017-01-27,53.16999816894531,1188.0999755859375,17.100000381469727
2017-01-30,52.630001068115234,1193.199951171875,17.121999740600586
2017-01-31,52.810001373291016,1208.5999755859375,17.511999130249023
2017-02-01,53.880001068115234,1205.5999755859375,17.420000076293945
2017-02-02,53.540000915527344,1216.699951171875,17.402000427246094
2017-02-03,53.83000183105469,1218.5,17.452999114990234
2017-02-06,53.0099983215332,1230.0,17.66699981689453
2017-02-07,52.16999816894531,1234.199951171875,17.732999801635742
2017-02-08,52.34000015258789,1237.5999755859375,17.683000564575195
2017-02-09,53.0,1235.0999755859375,17.719999313354492
2017-02-10,53.86000061035156,1234.4000244140625,17.91200065612793
2017-02-13,52.93000030517578,1224.4000244140625,17.804000854492188
2017-02-14,53.20000076293945,1223.9000244140625,17.871999740600586
2017-02-15,53.11000061035156,1231.699951171875,17.94700050354004
2017-02-16,53.36000061035156,1240.0,18.062999725341797
2017-02-17,53.400001525878906,1237.5999755859375,18.018999099731445
2017-02-21,54.060001373291016,1237.5,17.989999771118164
2017-02-22,53.59000015258789,1232.0,17.941999435424805
2017-02-23,54.45000076293945,1250.199951171875,18.113000869750977
2017-02-24,53.9900016784668,1256.9000244140625,18.334999084472656
2017-02-27,54.04999923706055,1257.4000244140625,18.354000091552734
2017-02-28,54.0099983215332,1252.5999755859375,18.420000076293945
2017-03-01,53.83000183105469,1248.9000244140625,18.44300079345703
2017-03-02,52.61000061035156,1231.9000244140625,17.704999923706055
2017-03-03,53.33000183105469,1225.5,17.69700050354004
2017-03-06,53.20000076293945,1224.5,17.725000381469727
2017-03-07,53.13999938964844,1215.0999755859375,17.492000579833984
2017-03-08,50.279998779296875,1208.5,17.256999969482422
2017-03-09,49.279998779296875,1202.4000244140625,16.993000030517578
2017-03-10,48.4900016784668,1200.699951171875,16.882999420166016
2017-03-13,48.400001525878906,1202.4000244140625,16.934999465942383
2017-03-14,47.720001220703125,1201.9000244140625,16.88800048828125
2017-03-15,48.86000061035156,1200.0999755859375,16.88800048828125
2017-03-16,48.75,1226.5,17.29599952697754
2017-03-17,48.779998779296875,1229.800048828125,17.378999710083008
2017-03-20,48.220001220703125,1233.5999755859375,17.402999877929688
2017-03-21,47.34000015258789,1246.0999755859375,17.549999237060547
2017-03-22,48.040000915527344,1249.300048828125,17.545000076293945
2017-03-23,47.70000076293945,1246.9000244140625,17.562999725341797
2017-03-24,47.970001220703125,1248.199951171875,17.719999313354492
2017-03-27,47.72999954223633,1255.4000244140625,18.079999923706055
2017-03-28,48.369998931884766,1255.300048828125,18.225000381469727
2017-03-29,49.5099983215332,1253.4000244140625,18.22800064086914
2017-03-30,50.349998474121094,1245.0,18.184999465942383
2017-03-31,50.599998474121094,1247.300048828125,18.235000610351562
2017-04-03,50.2400016784668,1250.800048828125,18.19099998474121
2017-04-04,51.029998779296875,1255.0,18.302000045776367
2017-04-05,51.150001525878906,1245.4000244140625,18.166000366210938
2017-04-06,51.70000076293945,1250.300048828125,18.225000381469727
2017-04-07,52.2400016784668,1254.300048828125,18.1299991607666
2017-04-10,53.08000183105469,1251.0999755859375,17.893999099731445
2017-04-11,53.400001525878906,1271.199951171875,18.232999801635742
2017-04-12,53.11000061035156,1275.300048828125,18.27899932861328
2017-04-13,53.18000030517578,1285.9000244140625,18.48900032043457
2017-04-17,52.650001525878906,1289.4000244140625,18.493000030517578
2017-04-18,52.40999984741211,1291.699951171875,18.250999450683594
2017-04-19,50.439998626708984,1281.4000244140625,18.13599967956543
2017-04-20,50.27000045776367,1281.9000244140625,17.992000579833984
2017-04-21,49.619998931884766,1287.4000244140625,17.829999923706055
2017-04-24,49.22999954223633,1275.800048828125,17.847999572753906
2017-04-25,49.560001373291016,1265.5999755859375,17.58099937438965
2017-04-26,49.619998931884766,1262.0999755859375,17.35300064086914
2017-04-27,48.970001220703125,1263.699951171875,17.264999389648438
2017-04-28,49.33000183105469,1266.0999755859375,17.19099998474121
2017-05-01,48.84000015258789,1253.300048828125,16.780000686645508
2017-05-02,47.65999984741211,1255.0999755859375,16.768999099731445
2017-05-03,47.81999969482422,1246.4000244140625,16.48699951171875
2017-05-04,45.52000045776367,1226.5,16.243999481201172
2017-05-05,46.220001220703125,1224.800048828125,16.21500015258789
2017-05-08,46.43000030517578,1225.300048828125,16.198999404907227
2017-05-09,45.880001068115234,1214.300048828125,16.007999420166016
2017-05-10,47.33000183105469,1217.300048828125,16.150999069213867
2017-05-11,47.83000183105469,1222.699951171875,16.208999633789062
